amount,bill_usage,service,tran_date,account
31,500,WATER,31-07-15,3-1094N
31,500,WATER,31-08-15,3-1094N
27.74,400,WATER,30-09-15,3-1094N
31,500,WATER,31-10-15,3-1094N
24.48,300,WATER,30-11-15,3-1094N
27.74,400,WATER,31-12-15,3-1094N
31,500,WATER,31-01-16,3-1094N
24.48,300,WATER,29-02-16,3-1094N
24.48,300,WATER,31-03-16,3-1094N
27.74,400,WATER,30-04-16,3-1094N
31,500,WATER,31-05-16,3-1094N
27.74,400,WATER,30-06-16,3-1094N
0,0,PWS,31-07-15,3-1094N
0,0,PWS,31-08-15,3-1094N
1.52,400,PWS,30-09-15,3-1094N
1.95,500,PWS,31-10-15,3-1094N
0.93,300,PWS,30-11-15,3-1094N
1.6,400,PWS,31-12-15,3-1094N
1.55,500,PWS,31-01-16,3-1094N
0,0,PWS,29-02-16,3-1094N
0,0,PWS,31-03-16,3-1094N
0,0,PWS,30-04-16,3-1094N
1.9,500,PWS,31-05-16,3-1094N
2,400,PWS,30-06-16,3-1094N
17.96,100,WATER,31-07-15,4-9738L
14.7,0,WATER,31-08-15,4-9738L
14.7,0,WATER,30-09-15,4-9738L
14.7,0,WATER,31-10-15,4-9738L
14.7,0,WATER,30-11-15,4-9738L
14.7,0,WATER,31-12-15,4-9738L
14.7,0,WATER,31-01-16,4-9738L
14.7,0,WATER,29-02-16,4-9738L
14.7,0,WATER,31-03-16,4-9738L
14.7,0,WATER,30-04-16,4-9738L
14.7,0,WATER,31-05-16,4-9738L
14.7,0,WATER,30-06-16,4-9738L
2.81,0,DWELLING C,31-07-15,4-9738L
2.81,0,DWELLING C,31-08-15,4-9738L
5.62,0,DWELLING C,31-03-16,4-9738L
5.62,0,DWELLING C,30-04-16,4-9738L
5.62,0,DWELLING C,31-05-16,4-9738L
5.62,0,DWELLING C,30-06-16,4-9738L
0,0,PWS,31-07-15,4-9738L
0,0,PWS,31-08-15,4-9738L
0,0,PWS,30-09-15,4-9738L
0,0,PWS,31-10-15,4-9738L
0,0,PWS,30-11-15,4-9738L
0,0,PWS,31-12-15,4-9738L
0,0,PWS,31-01-16,4-9738L
0,0,PWS,29-02-16,4-9738L
0,0,PWS,31-03-16,4-9738L
0,0,PWS,30-04-16,4-9738L
0,0,PWS,31-05-16,4-9738L
